-25,-3.1608,21.75,644.27,0,
-25,-54,21.75,645.8,0,
-25,-54,1.75,646.4,1,
-25,-76.1,1.75,649.71,1,
-25.707,-79.707,1.75,650.26,1,
-22.1,-79,1.75,650.82,1,
22.1,-79,1.75,657.45,1,
25.707,-79.707,1.75,658,1,
25,-76.1,1.75,658.55,1,
25,-29,1.75,665.61,1,
-22.1,-29,1.75,672.68,1,
-25.707,-28.293,1.75,673.23,1,
-25,-31.9,1.75,673.78,1,
-25,-54,1.75,677.1,0,
-25,-54,21.75,677.7,0,
-83,0,21.75,680.07,0,
-83,0,1.75,680.67,1,
-83,-83,1.75,693.12,1,
83,-83,1.75,718.02,1,
83,83,1.75,742.92,1,
-83,83,1.75,767.82,1,
-83,0,1.75,780.27,0,
-83,0,21.75,780.87,0,
-79,-53.982,21.75,782.5,0,
-79,-53.982,1.75,783.1,1,
-79,-79,1.75,786.85,1,
-31.9,-79,1.75,793.92,1,
-28.293,-79.707,1.75,794.47,1,
-29,-76.1,1.75,795.02,1,
-29,-29,1.75,802.08,1,
-76.1,-29,1.75,809.15,1,
-79.632,-28.368,1.75,809.69,1,
-79,-31.9,1.75,810.22,1,
-79,-53.982,1.75,813.54,0,
-79,-53.982,21.75,814.14,0,
29,-54,23.5,814.74,0,
29,-54,3.5,815.34,1,
29,-76.1,3.5,818.65,1,
28.293,-79.707,3.5,819.2,1,
31.9,-79,3.5,819.75,1,
79,-79,3.5,826.82,1,
79,-31.9,3.5,833.88,1,
79.632,-28.368,3.5,834.42,1,
76.1,-29,3.5,834.96,1,
31.9,-29,3.5,841.59,1,
28.293,-28.293,3.5,842.14,1,
29,-31.9,3.5,842.69,1,
29,-54,3.5,846.01,0,
29,-54,23.5,846.61,0,
-79,-1.78E-15,23.5,850.23,0,
-79,-1.78E-15,3.5,850.83,1,
-79,-22.1,3.5,854.15,1,
-79.707,-25.707,3.5,854.7,1,
-76.1,-25,3.5,855.25,1,
-31.9,-25,3.5,861.88,1,
-28.352,-25.695,3.5,862.42,1,
-28.293,-25.707,3.5,862.43,1,
-29,-22.1,3.5,862.98,1,
-29,25,3.5,870.05,1,
-76.1,25,3.5,877.11,1,
-79.707,25.707,3.5,877.66,1,
-79,22.1,3.5,878.21,1,
-79,-1.78E-15,3.5,881.53,0,
-79,-1.78E-15,23.5,882.13,0,
-79,54.019,23.5,883.75,0,
-79,54.019,3.5,884.35,1,
-79,31.9,3.5,887.67,1,
-79.707,28.293,3.5,888.22,1,
-76.1,29,3.5,888.77,1,
-31.9,29,3.5,895.4,1,
-28.293,28.293,3.5,895.95,1,
-29,31.9,3.5,896.5,1,
-29,76.1,3.5,903.13,1,
-28.293,79.707,3.5,903.68,1,
-31.9,79,3.5,904.24,1,
-79,79,3.5,911.3,1,
-79,54.019,3.5,915.05,0,
-79,54.019,23.5,915.65,0,
29,54.019,23.5,918.89,0,
29,54.019,3.5,919.49,1,
