25.707,79.707,3.5,850.16,1,,
22.1,79,3.5,850.71,1,,
-22.1,79,3.5,857.34,1,,
-25.707,79.707,3.5,857.9,1,,
-25,76.1,3.5,858.45,1,,
-25,54.031,3.5,861.76,1,,
-25,54.019,3.5,861.76,0,,
-25,54.019,23.5,862.36,0,,
29,0.031526,23.5,864.65,0,,
29,0.031526,3.5,865.25,1,,
29,-25,3.5,869.01,1,,
76.1,-25,3.5,876.07,1,,
79.707,-25.707,3.5,876.62,1,,
79,-22.1,3.5,877.17,1,,
79,22.1,3.5,883.8,1,,
79.707,25.707,3.5,884.35,1,,
76.1,25,3.5,884.91,1,,
31.9,25,3.5,891.54,1,,
28.293,25.707,3.5,892.09,1,,
29,22.1,3.5,892.64,1,,
29,0.031526,3.5,895.95,0,,
29,0.031526,23.5,896.55,0,,
29,-54,23.5,898.17,0,,
29,-54,3.5,898.77,1,,
29,-76.1,3.5,902.08,1,,
28.293,-79.707,3.5,902.64,1,,
31.9,-79,3.5,903.19,1,,
79,-79,3.5,910.25,1,,
79,-31.9,3.5,917.32,1,,
79.632,-28.368,3.5,917.86,1,,
76.1,-29,3.5,918.39,1,,
31.9,-29,3.5,925.02,1,,
28.293,-28.293,3.5,925.58,1,,
29,-31.9,3.5,926.13,1,,
29,-54,3.5,929.44,0,,
29,-54,23.5,930.04,0,,
-83,0,23.5,933.77,0,,
-83,0,3.5,934.37,1,,
-83,-83,3.5,946.82,1,,
83,-83,3.5,971.72,1,,
83,83,3.5,996.62,1,,
-83,83,3.5,1021.5,1,,
-83,0,3.5,1034,0,,
-83,0,23.5,1034.6,0,,
29,54.019,23.5,1038.3,0,,
29,54.019,3.5,1038.9,1,,
29,53.941,3.5,1038.9,1,,
29,29,3.5,1042.7,1,,
76.1,29,3.5,1049.7,1,,
79.707,28.293,3.5,1050.3,1,,
79,31.9,3.5,1050.8,1,,
79,79,3.5,1057.9,1,,
31.9,79,3.5,1065,1,,
28.293,79.707,3.5,1065.5,1,,
29,76.1,3.5,1066.1,1,,
29,54.019,3.5,1069.4,0,,
29,54.019,23.5,1070,0,,
-25,-54,23.5,1073.6,0,,
-25,-54,3.5,1074.2,1,,
-25,-76.1,3.5,1077.5,1,,
-25.707,-79.707,3.5,1078.1,1,,
-22.1,-79,3.5,1078.6,1,,
22.1,-79,3.5,1085.2,1,,
25.707,-79.707,3.5,1085.8,1,,
25,-76.1,3.5,1086.3,1,,
25,-29,3.5,1093.4,1,,
-22.1,-29,3.5,1100.5,1,,
-25.707,-28.293,3.5,1101,1,,
-25,-31.9,3.5,1101.6,1,,
-25,-54,3.5,1104.9,0,,
-25,-54,23.5,1105.5,0,,
-79,54.019,23.5,1109.1,0,,
-79,54.019,3.5,1109.7,1,,
-79,31.9,3.5,1113,1,,
-79.707,28.293,3.5,1113.6,1,,
-76.1,29,3.5,1114.1,1,,
-31.9,29,3.5,1120.8,1,,
-28.293,28.293,3.5,1121.3,1,,
-29,31.9,3.5,1121.9,1,,
-29,76.1,3.5,1128.5,1,,
-28.293,79.707,3.5,1129,1,,
-31.9,79,3.5,1129.6,1,,
-79,79,3.5,1136.7,1,,
-79,54.019,3.5,1140.4,0,,
-79,54.019,23.5,1141,0,,
-79,-53.982,23.5,1144.2,0,,
-79,-53.982,3.5,1144.8,1,,
-79,-79,3.5,1148.6,1,,
-31.9,-79,3.5,1155.7,1,,
-28.293,-79.707,3.5,1156.2,1,,
-29,-76.1,3.5,1156.8,1,,
-29,-29,3.5,1163.8,1,,
-76.1,-29,3.5,1170.9,1,,
-79.632,-28.368,3.5,1171.4,1,,
-79,-31.9,3.5,1172,1,,
-79,-53.982,3.5,1175.3,0,,
-79,-53.982,23.5,1175.9,0,,
-79,-1.78E-15,23.5,1177.5,0,,
-79,-1.78E-15,3.5,1178.1,1,,
-79,-22.1,3.5,1181.4,1,,
-79.707,-25.707,3.5,1182,1,,
-76.1,-25,3.5,1182.5,1,,
-31.9,-25,3.5,1189.2,1,,
-28.352,-25.695,3.5,1189.7,1,,
-28.293,-25.707,3.5,1189.7,1,,
-29,-22.1,3.5,1190.3,1,,
-29,25,3.5,1197.3,1,,
-76.1,25,3.5,1204.4,1,,
-79.707,25.707,3.5,1204.9,1,,
-79,22.1,3.5,1205.5,1,,
-79,-1.78E-15,3.5,1208.8,0,,
-79,-1.78E-15,23.5,1209.4,0,,
-25,0.029525,23.5,1211,0,,
-25,0.029525,3.5,1211.6,1,,
-25,-25,3.5,1215.4,1,,
22.1,-25,3.5,1222.4,1,,
25.707,-25.707,3.5,1223,1,,
25,-22.1,3.5,1223.5,1,,
25,25,3.5,1230.6,1,,
-22.1,25,3.5,1237.7,1,,
-25.707,25.707,3.5,1238.2,1,,
-25,22.1,3.5,1238.8,1,,
-25,0.029525,3.5,1242.1,0,,
-25,0.029525,23.5,1242.7,0,,
-25,54.019,25.25,1243.3,0,,
-25,54.019,5.25,1243.9,1,,
-25,29,5.25,1247.6,1,,
22.1,29,5.25,1254.7,1,,
25.707,28.293,5.25,1255.3,1,,
25,31.9,5.25,1255.8,1,,
25,76.1,5.25,1262.4,1,,
25.707,79.707,5.25,1263,1,,
22.1,79,5.25,1263.5,1,,
-22.1,79,5.25,1270.2,1,,
-25.707,79.707,5.25,1270.7,1,,
-25,76.1,5.25,1271.3,1,,
-25,54.031,5.25,1274.6,1,,
-25,54.019,5.25,1274.6,0,,
-25,54.019,25.25,1275.2,0,,
29,0.031526,25.25,1277.5,0,,
29,0.031526,5.25,1278.1,1,,
29,-25,5.25,1281.8,1,,
76.1,-25,5.25,1288.9,1,,
79.707,-25.707,5.25,1289.5,1,,
79,-22.1,5.25,1290,1,,
79,22.1,5.25,1296.6,1,,
79.707,25.707,5.25,1297.2,1,,
76.1,25,5.25,1297.7,1,,
31.9,25,5.25,1304.4,1,,
28.293,25.707,5.25,1304.9,1,,
29,22.1,5.25,1305.5,1,,
29,0.031526,5.25,1308.8,0,,
29,0.031526,25.25,1309.4,0,,
29,-54,25.25,1311,0,,
29,-54,5.25,1311.6,1,,
29,-76.1,5.25,1314.9,1,,
28.293,-79.707,5.25,1315.5,1,,
31.9,-79,5.25,1316,1,,
79,-79,5.25,1323.1,1,,
79,-31.9,5.25,1330.1,1,,
79.632,-28.368,5.25,1330.7,1,,
76.1,-29,5.25,1331.2,1,,
31.9,-29,5.25,1337.9,1,,
28.293,-28.293,5.25,1338.4,1,,
29,-31.9,5.25,1339,1,,
29,-54,5.25,1342.3,0,,
29,-54,25.25,1342.9,0,,
-83,0,25.25,1346.6,0,,
-83,0,5.25,1347.2,1,,
-83,-83,5.25,1359.7,1,,
83,-83,5.25,1384.6,1,,
83,83,5.25,1409.5,1,,
-83,83,5.25,1434.4,1,,
-83,0,5.25,1446.8,0,,
-83,0,25.25,1447.4,0,,
