25,-31.9,5.25,1607.6,1
25.638,-28.362,5.25,1608.1,1
22.1,-29,5.25,1608.7,1
-22.1,-29,5.25,1615.3,1
-25.988,-28,5.25,1615.9,1
-25,-31.9,5.25,1616.5,1
-25,-52.333,5.25,1619.6,0
-25,-52.333,25.25,1620.2,0
29,-54,25.25,1621.8,0
29,-54,5.25,1622.4,1
29,-76.1,5.25,1625.7,1
28.293,-79.707,5.25,1626.2,1
31.9,-79,5.25,1626.8,1
79,-79,5.25,1633.9,1
79,-31.9,5.25,1640.9,1
79.632,-28.368,5.25,1641.5,1
76.1,-29,5.25,1642,1
31.9,-29,5.25,1648.6,1
28.006,-28.006,5.25,1649.2,1
29,-31.9,5.25,1649.8,1
29,-54,5.25,1653.1,0
29,-54,25.25,1653.7,0
29,-0.040437,27,1654.3,0
29,-0.040437,7,1654.9,1
29,-22.1,7,1658.3,1
28.209,-25.791,7,1658.8,1
31.9,-25,7,1659.4,1
76.1,-25,7,1666,1
79.707,-25.707,7,1666.6,1
79,-22.1,7,1667.1,1
79,22.1,7,1673.8,1
79.707,25.707,7,1674.3,1
76.1,25,7,1674.9,1
31.9,25,7,1681.5,1
27.988,26,7,1682.1,1
29,22.1,7,1682.7,1
29,0.031526,7,1686,1
29,-0.040437,7,1686,0
29,-0.040437,27,1686.6,0
-79,-55.829,27,1690.3,0
-79,-55.829,7,1690.9,1
-79,-79,7,1694.3,1
-31.9,-79,7,1701.4,1
-28.293,-79.707,7,1702,1
-29,-76.1,7,1702.5,1
-29,-31.9,7,1709.1,1
-28.256,-28.256,7,1709.7,1
-31.9,-29,7,1710.3,1
-76.1,-29,7,1716.9,1
-79.632,-28.368,7,1717.4,1
-79,-31.9,7,1718,1
-79,-53.982,7,1721.3,1
-79,-55.829,7,1721.5,0
-79,-55.829,27,1722.1,0
-25,53.997,27,1725.8,0
-25,53.997,7,1726.4,1
-25,31.9,7,1729.7,1
-25.49,28.51,7,1730.2,1
-22.1,29,7,1730.8,1
22.1,29,7,1737.4,1
26.024,27.988,7,1738,1
25,31.9,7,1738.6,1
25,76.1,7,1745.2,1
25.707,79.707,7,1745.8,1
22.1,79,7,1746.3,1
-22.1,79,7,1753,1
-25.707,79.707,7,1753.5,1
-25,76.1,7,1754.1,1
-25,54.031,7,1757.4,1
-25,54.019,7,1757.4,1
-25,53.997,7,1757.4,0
-25,53.997,27,1758,0
-79,-1.7764e-15,27,1760.3,0
-79,-1.7764e-15,7,1760.9,1
-79,-22.1,7,1764.2,1
-79.707,-25.707,7,1764.7,1
-76.1,-25,7,1765.3,1
-31.9,-25,7,1771.9,1
-28.417,-25.886,7,1772.5,1
-27.985,-25.998,7,1772.5,1
-29,-22.1,7,1773.1,1
-29,22.1,7,1779.8,1
-28.449,25.551,7,1780.3,1
-31.9,25,7,1780.8,1
-76.1,25,7,1787.4,1
-79.707,25.707,7,1788,1
-79,22.1,7,1788.5,1
-79,-1.7764e-15,7,1791.9,0
-79,-1.7764e-15,27,1792.5,0
29,50.016,27,1796,0
29,50.016,7,1796.6,1
29,31.9,7,1799.3,1
28.328,28.328,7,1799.9,1
31.9,29,7,1800.4,1
76.1,29,7,1807.1,1
79.707,28.293,7,1807.6,1
79,31.9,7,1808.2,1
79,79,7,1815.2,1
31.9,79,7,1822.3,1
28.293,79.707,7,1822.9,1
29,76.1,7,1823.4,1
29,54.019,7,1826.7,1
29,53.941,7,1826.7,1
29,50.016,7,1827.3,0
29,50.016,27,1827.9,0
-25,0.41827,27,1830.1,0
-25,0.41827,7,1830.7,1
-25,0.029525,7,1830.8,1
-25,-3.1608,7,1831.3,1
-25,-22.1,7,1834.1,1
-25.805,-25.805,7,1834.7,1
-22.1,-25,7,1835.2,1
22.1,-25,7,1841.9,1
26.019,-26.003,7,1842.5,1
25,-22.1,7,1843.1,1
25,22.1,7,1849.7,1
25.594,25.594,7,1850.2,1
22.1,25,7,1850.8,1
-22.1,25,7,1857.4,1
-26.055,26.041,7,1858,1
-25,22.1,7,1858.6,1
-25,0.41827,7,1861.9,0
-25,0.41827,27,1862.5,0
-79,54.019,27,1864.8,0
-79,54.019,7,1865.4,1
-79,31.9,7,1868.7,1
-79.707,28.293,7,1869.2,1
-76.1,29,7,1869.8,1
-31.9,29,7,1876.4,1
-28.009,27.996,7,1877,1
-29,31.9,7,1877.6,1
-29,76.1,7,1884.2,1
-28.293,79.707,7,1884.8,1
-31.9,79,7,1885.3,1
-79,79,7,1892.4,1
-79,54.019,7,1896.2,0
-79,54.019,27,1896.8,0
-83,0,27,1898.4,0
-83,0,7,1899,1
-83,-83,7,1911.4,1
83,-83,7,1936.3,1
83,83,7,1961.2,1
-83,83,7,1986.1,1
-83,0,7,1998.6,0
-83,0,27,1999.2,0
-25,-52.333,27,2001.5,0
-25,-52.333,7,2002.1,1
-25,-54,7,2002.4,1
-25,-76.1,7,2005.7,1
-25.707,-79.707,7,2006.2,1
-22.1,-79,7,2006.8,1
22.1,-79,7,2013.4,1
25.707,-79.707,7,2014,1
25,-76.1,7,2014.5,1
25,-31.9,7,2021.2,1
25.638,-28.362,7,2021.7,1
22.1,-29,7,2022.2,1
-22.1,-29,7,2028.9,1
-25.988,-28,7,2029.5,1
-25,-31.9,7,2030.1,1
-25,-52.333,7,2033.1,0
-25,-52.333,27,2033.7,0
29,-54,27,2035.4,0
29,-54,7,2036,1
29,-76.1,7,2039.3,1
28.293,-79.707,7,2039.8,1
31.9,-79,7,2040.4,1
79,-79,7,2047.4,1
79,-31.9,7,2054.5,1
79.632,-28.368,7,2055,1
76.1,-29,7,2055.6,1
31.9,-29,7,2062.2,1
28.006,-28.006,7,2062.8,1
29,-31.9,7,2063.4,1
